symbol,name,j_low,pct_calm,amplitude,trend_gap,dif,vol_shrink,yangyin,surge,ql_pos,bowl,washout_recover,ma_bull,weekly_cross,ml_score,sig_b1,sig_volume_b1,sig_zhixing,sig_needle,close,pct_change,yellow_line,above_yellow,float_mv_yi,sector,concepts,sector_score
600489,,0.0,1.0,0.7992,0.0,0.0,0.5261,0.2691,0.0,0.109,0.0,0.0,0.0,0.0,0.3681,False,False,False,False,22.52,-0.27,24.38,False,109161.5,有色金属,黄金概念/融资融券/保险重仓,62.0
600490,,0.0,1.0,0.7704,0.0,0.0,0.5865,0.2416,0.0,0.4415,0.0,0.0,0.5,0.0,0.3537,False,False,False,False,7.56,0.13,7.79,False,15064.2,化工行业,融资融券/上海本地,59.2
600491,,0.4646,1.0,0.641,0.0,0.0,0.8021,0.2586,0.3,0.0,0.0,0.0,0.5,0.0,0.4579,False,False,False,False,1.32,1.54,1.8,False,2019.3,建筑建材,融资融券/金融改革/业绩预降,23.8
600493,,0.3284,1.0,0.7547,0.0,0.0,0.6192,0.0331,0.0,0.0,0.0,0.0,0.0,0.0,0.501,False,False,False,False,5.95,-0.5,6.85,False,16.2,纺织行业,海峡西岸/准ST股,26.5
600495,,0.3938,1.0,0.8778,0.0,0.0,0.8008,0.319,0.3,0.0,0.0,0.0,0.0,0.0,0.3775,False,False,False,False,3.78,-1.05,4.21,False,4567.0,交通运输,国防军工/军民融合/军工航天,28.9
600496,,1.0,0.8998,0.7415,0.3171,0.0,0.7313,0.2058,0.3,0.0,0.0,0.0,0.0,1.0,0.7263,False,False,False,False,3.48,-3.6,4.06,False,6925.6,钢铁行业,皖江区域,26.9
600497,,0.0,1.0,0.7167,0.5262,0.4392,0.1977,0.4827,0.3,1.0,0.0,0.0,0.5,1.0,0.3636,False,False,False,False,10.07,-0.49,9.27,True,50756.6,有色金属,稀缺资源/融资融券,62.0
600498,,0.0,0.0,0.2668,1.0,1.0,0.2784,1.0,0.6,1.0,0.0,0.0,1.0,0.7,0.4538,False,False,False,False,74.0,9.1,53.65,True,941.0,电子信息,5G概念/融资融券/武汉规划,26.5
600499,,0.0,1.0,0.7231,0.1682,0.0,0.6504,0.147,0.3,0.4804,0.0,0.0,0.5,0.0,0.4324,False,False,False,False,15.86,-0.19,16.37,False,304.2,机械行业,盐湖提锂/低碳经济/锂电池,29.0
600500,,0.0,0.0,0.9515,1.0,1.0,0.5814,0.8019,0.6,1.0,0.0,0.0,1.0,1.0,0.477,False,False,False,False,9.06,9.95,5.65,True,32510.1,物资外贸,油气改革/整体上市/金融参股,35.1
600501,,0.0,1.0,0.8249,0.0,0.0,0.7203,0.1169,0.3,0.0,0.0,0.0,0.0,0.0,0.492,False,False,False,False,17.76,-0.73,21.11,False,7598.2,汽车制造,大飞机/垃圾分类/国防军工,25.0
600502,,0.2782,1.0,0.8319,0.2918,0.0,0.6151,0.1516,0.0,0.1587,0.0,0.0,0.0,0.0,0.3993,False,False,False,False,4.75,-0.21,5.08,False,8153.5,建筑建材,融资融券/水利建设,23.8
