symbol,name,j_low,pct_calm,amplitude,trend_gap,dif,vol_shrink,yangyin,surge,ql_pos,bowl,washout_recover,ma_bull,weekly_cross,ml_score,sig_b1,sig_volume_b1,sig_zhixing,close,pct_change,yellow_line,above_yellow,float_mv_yi,sector,concepts,sector_score
600935,,0.3339,1.0,0.7403,0.0116,0.0,0.5461,0.3385,0.3,0.0,0.0,0.0,0.0,0.0,0.2408,False,False,False,2.33,0.87,2.55,False,8172.2,,,
600936,,1.0,1.0,0.6491,1.0,1.0,0.6602,0.2639,1.0,0.4162,0.0,0.0,0.0,1.0,0.4171,True,False,False,4.84,-2.02,5.06,False,8087.8,,,
600938,,0.8865,1.0,0.7773,0.3288,0.0,0.2309,0.1549,0.3,0.1419,0.0,0.0,0.0,0.0,0.3576,False,False,False,33.36,-1.36,35.92,False,99746.4,,,
600939,,0.9325,1.0,0.7264,0.2673,0.0,0.679,0.3326,0.0,0.0,0.0,1.0,0.5,0.0,0.2463,False,False,False,2.7,0.75,2.93,False,5136.7,,,
600941,,1.0,1.0,0.9236,0.5809,0.5429,0.5191,0.4701,0.0,0.3875,0.0,0.0,0.0,1.0,0.2641,False,False,False,95.12,-0.89,97.06,False,85871.3,,,
600955,,0.0,0.9956,0.6754,0.0051,0.0,0.6872,0.0974,0.0,0.0371,0.0,0.0,0.0,1.0,0.4476,False,False,False,15.66,3.03,17.09,False,8613.0,,,
600956,,0.7791,0.461,0.5081,0.6771,0.0084,0.4401,0.3861,0.6,0.3491,0.0,1.0,0.5,1.0,0.5405,False,False,False,8.35,6.23,8.67,False,19606.5,,光伏,
600958,,0.0,0.7063,0.6372,0.2157,0.0,0.2441,0.3002,0.6,0.3376,0.0,0.0,0.0,0.0,0.433,False,False,False,9.24,4.76,9.46,False,69018.0,金融行业,含H股,45.1
600959,,0.8782,1.0,0.8318,0.009,0.0,0.4331,0.1242,0.0,0.0,0.0,0.0,0.0,0.0,0.5601,False,False,False,3.15,-0.63,3.69,False,15752.3,传媒娱乐,,16.1
600960,,0.451,1.0,0.7684,0.0,0.0,0.5636,0.159,0.0,0.0,0.0,1.0,0.0,0.0,0.4627,False,False,False,4.1,1.74,4.75,False,3897.1,汽车制造,黄河三角,17.3
600961,,0.0,0.0,0.4343,0.9115,0.0,0.627,0.3366,0.0,1.0,0.0,0.0,0.0,0.7,0.5426,False,False,False,25.41,10.0,24.38,True,19103.6,有色金属,长株潭,43.6
