symbol,name,j_low,pct_calm,amplitude,trend_gap,dif,vol_shrink,yangyin,surge,ql_pos,bowl,washout_recover,ma_bull,weekly_cross,ml_score,sig_b1,sig_volume_b1,sig_zhixing,sig_needle,pattern_state,close,pct_change,yellow_line,above_yellow,float_mv_yi,sector,concepts,sector_score
600143,,0.0,0.6955,0.5008,0.1318,0.0,0.4549,0.1711,0.6,0.0,0.0,0.0,0.5,1.0,0.4583,False,False,False,False,无明确战法态,15.38,-4.83,16.68,False,40523.6,塑料制品,金融改革/民营银行/券商重仓,20.1
600148,,0.0,1.0,0.7697,0.0,0.0,0.5585,0.1548,0.0,0.0,0.0,0.0,0.5,1.0,0.4764,False,False,False,False,无明确战法态,14.94,-2.61,16.74,False,2114.3,汽车制造,朝鲜改革/国防军工/军工航天,29.4
600149,,0.0,1.0,0.7568,0.0,0.0,0.8528,0.1942,0.0,0.0,0.0,0.0,0.5,0.0,0.5218,False,False,False,False,无明确战法态,4.58,-1.72,5.28,False,1741.1,机械行业,京津冀/金融参股,32.0
600150,,0.0,1.0,0.7821,0.3363,0.4692,0.5421,0.3506,0.0,0.8303,0.0,0.0,0.5,0.0,0.3657,False,False,False,False,无明确战法态,37.33,-0.82,36.13,True,226647.3,船舶制造,国防军工/军民融合/军工航天,31.0
600151,,0.8088,1.0,0.6112,0.0,0.0,0.8677,0.2184,0.3,0.0,0.0,0.0,0.0,0.0,0.6036,False,False,False,False,无明确战法态,10.39,-2.26,12.65,False,14901.9,电子器件,光伏/国防军工/军民融合,46.5
600152,,1.0,1.0,0.581,0.0197,0.0,0.8328,0.1182,0.0,0.0,0.0,0.0,0.0,0.0,0.64,False,False,False,False,无明确战法态,8.85,-2.43,10.93,False,4682.4,纺织行业,,34.6
600153,,0.0,1.0,0.7824,0.0893,0.0,0.6834,0.2531,0.0,0.0954,0.0,0.0,0.5,0.0,0.4342,False,False,False,False,无明确战法态,8.47,-1.28,8.99,False,24559.1,物资外贸,白酒概念/海峡西岸/金融参股,31.8
600155,,0.5833,0.8794,0.7045,0.0937,0.2761,0.5265,0.3607,0.6,0.0018,0.0,0.0,1.0,0.0,0.4226,False,False,False,False,无明确战法态,5.43,-3.72,5.81,False,12019.5,化工行业,白酒概念/京津冀/参股券商,46.5
600156,,0.0,0.5175,0.4978,0.1251,0.0,0.7795,0.0752,0.0,0.0768,0.0,0.0,0.5,0.0,0.4576,False,False,False,False,无明确战法态,8.62,-5.9,9.35,False,3466.2,纺织行业,长株潭/金融参股/参股金融,34.6
600157,,0.2446,1.0,0.8301,0.1299,0.0,0.8571,0.267,0.0,0.0,0.0,0.0,0.0,0.0,0.4731,False,False,False,False,无明确战法态,1.53,-2.55,1.68,False,33381.2,煤炭行业,光伏/页岩气/参股保险,26.5
600158,,0.7373,0.9987,0.7494,0.0,0.0,0.8414,0.0825,0.3,0.0,0.0,0.0,0.0,0.0,0.5479,False,False,False,False,无明确战法态,6.45,-3.01,8.91,False,61.9,,京津冀/赛马概念/参股金融,
600159,,0.04,1.0,0.6798,0.0,0.0,0.753,0.131,0.0,0.0,0.0,0.0,0.5,0.0,0.5146,False,False,False,False,无明确战法态,2.24,-2.18,2.64,False,1859.2,房地产,京津冀,27.4
600160,,1.0,0.6607,0.6385,1.0,1.0,0.5795,0.9059,0.3,1.0,1.0,0.0,0.5,1.0,0.3618,False,False,False,False,无明确战法态,46.58,-5.04,43.42,True,1257.6,化工行业,碳交易/低碳经济/业绩预降,46.5
600161,,0.0,0.7988,0.7303,0.0,0.0,0.4764,0.323,0.6,0.0,0.0,0.0,0.5,0.0,0.3831,False,False,False,False,无明确战法态,11.84,-4.21,13.13,False,23412.1,生物制药,业绩预升/本月解禁/QFII重仓,37.6
600162,,1.0,0.6084,0.5885,1.0,0.0,0.8625,0.2782,0.6,0.0,0.0,0.0,0.0,1.0,0.6163,False,False,False,False,B1候B2,2.3,-5.35,2.74,False,7517.4,房地产,涉矿概念/民营银行,27.4
600163,,0.5104,0.9401,0.776,0.0,0.0,0.9457,0.2397,0.3,0.0,0.0,0.0,0.0,1.0,0.6337,False,False,False,False,无明确战法态,4.89,-3.36,5.87,False,9305.7,造纸行业,光伏/海峡西岸/准ST股,30.7
600165,,0.0,0.6841,0.5804,0.0,0.0,0.4608,0.2081,0.3,0.0,0.0,0.0,0.5,0.0,0.4031,False,False,False,False,无明确战法态,2.72,-4.9,2.98,False,1993.5,钢铁行业,节能环保/陕甘宁/金融参股,30.1
600166,,0.0,1.0,0.7083,0.2623,0.4544,0.501,0.5249,0.0,0.8037,0.0,0.0,0.5,0.0,0.4152,False,False,False,False,无明确战法态,3.24,1.25,3.14,True,25652.4,汽车制造,氢能源/百度概念/业绩预降,29.4
600167,,0.0,1.0,0.8391,0.0,0.0,0.7835,0.218,0.0,0.0,0.0,0.0,0.5,1.0,0.4724,False,False,False,False,无明确战法态,5.65,-2.59,6.16,False,127.9,供水供气,,27.8
600168,,0.0,1.0,0.797,0.0,0.0,0.7163,0.2614,0.0,0.0,0.0,0.0,0.5,0.0,0.4645,False,False,False,False,无明确战法态,4.16,-2.58,4.55,False,4132.5,供水供气,武汉规划/赛马概念,27.8
600169,,0.0,0.9281,0.7059,0.0,0.0,0.4313,0.2126,0.3,0.0,0.0,0.0,0.5,0.0,0.4763,False,False,False,False,无明确战法态,1.97,-3.43,2.18,False,6566.3,机械行业,券商重仓/分拆上市,32.0
600170,,0.0,1.0,0.7944,0.0,0.0,0.604,0.2627,0.3,0.0,0.0,0.0,0.0,0.0,0.4361,False,False,False,False,无明确战法态,2.22,-2.2,2.47,False,19726.8,建筑建材,雄安新区/黄金概念/国企改革,27.5
